datum;talsperre;stauraum_mio_m3;inhalt_mio_m3;fuellgrad_pct;quelle
2023-09-15;Obernau;14.9;13.28;89.13;https://www.bra.nrw.de/system/files/media/document/file/2023-09-15_talsperrenfuellstaende.pdf
2023-10-01;Breitenbach;7.8;6.61;84.74;https://www.bra.nrw.de/system/files/media/document/file/2023-10-01_talsperrenfuellstaende.pdf
2023-10-01;Obernau;14.9;13.01;87.32;https://www.bra.nrw.de/system/files/media/document/file/2023-10-01_talsperrenfuellstaende.pdf
2023-10-15;Breitenbach;7.8;6.48;83.08;https://www.bra.nrw.de/system/files/media/document/file/2023-10-15_talsperrenfuellstaende.pdf
2023-10-15;Obernau;14.9;12.68;85.1;https://www.bra.nrw.de/system/files/media/document/file/2023-10-15_talsperrenfuellstaende.pdf
2023-11-01;Breitenbach;7.8;6.54;83.85;https://www.bra.nrw.de/system/files/media/document/file/2023-11-01_talsperrenfuellstaende.pdf
2023-11-01;Obernau;14.9;12.63;84.77;https://www.bra.nrw.de/system/files/media/document/file/2023-11-01_talsperrenfuellstaende.pdf
2023-11-15;Breitenbach;7.8;6.64;85.13;https://www.bra.nrw.de/system/files/media/document/file/2023-11-15_talsperrenfuellstaende.pdf
2023-11-15;Obernau;14.9;13.23;88.79;https://www.bra.nrw.de/system/files/media/document/file/2023-11-15_talsperrenfuellstaende.pdf
2023-12-01;Breitenbach;7.8;6.63;85.0;https://www.bra.nrw.de/system/files/media/document/file/2023-12-01_talsperrenfuellstaende.pdf
2023-12-01;Obernau;14.9;13.65;91.61;https://www.bra.nrw.de/system/files/media/document/file/2023-12-01_talsperrenfuellstaende.pdf
2023-12-15;Breitenbach;7.8;6.66;85.38;https://www.bra.nrw.de/system/files/media/document/file/2023-12-15_talsperrenfuellstaende.pdf
2023-12-15;Obernau;14.9;13.71;92.01;https://www.bra.nrw.de/system/files/media/document/file/2023-12-15_talsperrenfuellstaende.pdf
2024-02-01;Breitenbach;7.8;6.62;84.87;https://www.bra.nrw.de/system/files/media/document/file/2024-02-01-talsperrenfullstande.pdf
2024-02-01;Obernau;14.9;13.63;91.48;https://www.bra.nrw.de/system/files/media/document/file/2024-02-01-talsperrenfullstande.pdf
2024-04-01;Breitenbach;7.8;6.62;84.87;https://www.bra.nrw.de/system/files/media/document/file/2024-04-01-talsperrenfullstande.pdf
2024-04-01;Obernau;14.9;13.71;92.01;https://www.bra.nrw.de/system/files/media/document/file/2024-04-01-talsperrenfullstande.pdf
2024-04-15;Breitenbach;7.8;6.83;87.56;https://www.bra.nrw.de/system/files/media/document/file/2024-04-15-talsperrenfullstande.pdf
2024-04-15;Obernau;14.9;14.2;95.3;https://www.bra.nrw.de/system/files/media/document/file/2024-04-15-talsperrenfullstande.pdf
2024-05-01;Breitenbach;7.8;6.78;86.92;https://www.bra.nrw.de/system/files/media/document/file/2024-05-01-talsperrenfullstande.pdf
2024-05-01;Obernau;14.9;14.52;97.45;https://www.bra.nrw.de/system/files/media/document/file/2024-05-01-talsperrenfullstande.pdf
2024-05-15;Breitenbach;7.8;6.75;86.54;https://www.bra.nrw.de/system/files/media/document/file/2024-05-15_talsperrenfuellstaende.pdf
2024-05-15;Obernau;14.9;14.76;99.06;https://www.bra.nrw.de/system/files/media/document/file/2024-05-15_talsperrenfuellstaende.pdf
2024-07-15;Breitenbach;7.8;6.51;83.46;https://www.bra.nrw.de/system/files/media/document/file/2024-07-15_talsperrenfuellstaende.pdf
2024-07-15;Obernau;14.9;14.34;96.24;https://www.bra.nrw.de/system/files/media/document/file/2024-07-15_talsperrenfuellstaende.pdf
2024-08-15;Breitenbach;7.8;6.22;79.74;https://www.bra.nrw.de/system/files/media/document/file/2024-08-15_talsperrenfuellstaende.pdf
