datum;talsperre;fuellgrad_pct;inhalt_mio_m3;quelle
1998-10-01;Obernautalsperre;85.91;12.8;https://web.archive.org/web/20030512131150id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/01_10_98.html
1998-10-15;Breitenbachtalsperre;96.03;7.49;https://web.archive.org/web/20030929174411id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/15_10_98.html
1998-10-15;Obernautalsperre;98.26;14.64;https://web.archive.org/web/20030929174411id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/15_10_98.html
1998-11-01;Breitenbachtalsperre;96.03;7.49;https://web.archive.org/web/20030512131223id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/01_11_98.html
1998-11-01;Obernautalsperre;98.26;14.64;https://web.archive.org/web/20030512131223id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/01_11_98.html
1998-11-15;Breitenbachtalsperre;85.64;6.68;https://web.archive.org/web/20030929174129id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/15_11_98.html
1998-11-15;Obernautalsperre;92.08;13.72;https://web.archive.org/web/20030929174129id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/15_11_98.html
1998-12-01;Breitenbachtalsperre;85.13;6.64;https://web.archive.org/web/20031126140052id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/01_12_98.html
1998-12-01;Obernautalsperre;92.28;13.75;https://web.archive.org/web/20031126140052id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/01_12_98.html
1998-12-15;Breitenbachtalsperre;85.26;6.65;https://web.archive.org/web/20030512131339id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/15_12_98.html
1998-12-15;Obernautalsperre;91.95;13.7;https://web.archive.org/web/20030512131339id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/15_12_98.html
1999-02-01;Breitenbachtalsperre;85.26;6.65;https://web.archive.org/web/20030512131150id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/01_02_99.html
1999-02-01;Obernautalsperre;92.55;13.79;https://web.archive.org/web/20030512131150id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/01_02_99.html
1999-03-01;Breitenbachtalsperre;84.87;6.62;https://web.archive.org/web/20030512131327id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/01_03_99.html
1999-03-01;Obernautalsperre;92.55;13.79;https://web.archive.org/web/20030512131327id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/01_03_99.html
1999-03-15;Breitenbachtalsperre;90.13;7.03;https://web.archive.org/web/20030512130823id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/15_03_99.html
1999-03-15;Obernautalsperre;96.78;14.42;https://web.archive.org/web/20030512130823id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/15_03_99.html
1999-04-01;Breitenbachtalsperre;91.92;7.17;https://web.archive.org/web/20030923113351id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/01_04_99.html
1999-04-01;Obernautalsperre;97.72;14.56;https://web.archive.org/web/20030923113351id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/01_04_99.html
